Bird ID,Song duration (sec),Total no. notes /song,Tempo,Before/After experiment,Experimental group (Control/High-nutrition)
BF0017,8.431,93,11.03071996,B,c
BF0017,2.807,37,13.18133238,B,c
BF0017,7.195,81,11.25781793,B,c
BF0017,5.639,63,11.17219365,B,c
BF0017,1.814,21,11.57662624,B,c
BF0017,2.842,33,11.61154117,B,c
BF0017,4.53,52,11.4790287,B,c
BF0017,8.634,87,10.07644197,B,c
BF0017,2.266,26,11.47396293,B,c
BF0017,6.11,69,11.29296236,B,c
BF0003,2.093,27,12.90014333,B,c
BF0003,3.352,39,11.63484487,B,c
BF0003,3.51,49,13.96011396,B,c
BF0018,2.128,17,7.988721805,B,h
BF0018,1.733,15,8.655510675,B,h
BF0027,2.052,21,10.23391813,B,h
BF0027,3.445,25,7.256894049,B,h
BF0026,2.836,27,9.52045134,B,h
BF0026,2.169,21,9.681881051,B,h
BF0026,5.123,46,8.979113801,B,h
BF0026,4.339,34,7.835906891,B,h
BF0026,5.912,55,9.303112314,B,h
BF0026,1.646,14,8.505467801,B,h
BF0026,2.679,25,9.331840239,B,h
BF0026,6.086,56,9.201445942,B,h
BF0026,1.123,11,9.795191451,B,h
BF0026,6.012,53,8.815701929,B,h
BF0026,2.179,20,9.178522258,B,h
BF0026,10.951,93,8.492375126,B,h
BF0026,4.247,38,8.947492348,B,h
BF0026,2.609,24,9.198926792,B,h
BF0026,3.044,23,7.555847569,B,h
BF0026,4.862,41,8.432743727,B,h
BF0026,4.949,42,8.486562942,B,h
BF0026,6.748,60,8.891523414,B,h
BF0026,4.821,38,7.88218212,B,h
BF0026,3.579,32,8.941044985,B,h
BF0026,4.649,42,9.034200903,B,h
BF0026,4.821,38,7.88218212,B,h
BF0022,21.063,169,8.023548402,B,h
BF0022,2.11,17,8.056872038,B,h
BF0022,1.918,16,8.342022941,B,h
BF0022,5.639,45,7.980138322,B,h
BF0022,1.135,10,8.810572687,B,h
BF0022,3.504,29,8.276255708,B,h
BF0022,2.244,18,8.021390374,B,h
BF0022,1.71,14,8.187134503,B,h
BF0022,3.439,26,7.560337307,B,h
BF0022,3.503,30,8.564087925,B,h
BF0022,3.991,31,7.767476823,B,h
BF0022,4.699,37,7.874015748,B,h
BF0022,0.786,7,8.905852417,B,h
BF0022,3.498,28,8.004574042,B,h
BF0022,2.97,24,8.080808081,B,h
BF0022,1.158,10,8.635578584,B,h
BF0022,3.497,28,8.006863025,B,h
BF0022,1.018,9,8.84086444,B,h
BF0022,3.66,26,7.103825137,B,h
BF0022,1.838,16,8.705114255,B,h
