Bird ID,Song duration (sec),Total no. notes /song,Tempo,Before/After experiment,Experimental group (Control/High-nutrition)
BF0026,8.664,69,7.96398892,A,h
BF0026,4.908,39,7.946210269,A,h
BF0026,7.021,62,8.830650904,A,h
BF0026,8.646,75,8.674531575,A,h
BF0026,11.183,82,7.332558347,A,h
BF0026,12.583,106,8.424064214,A,h
BF0026,14.939,104,6.961644019,A,h
BF0026,7.933,70,8.823900164,A,h
BF0026,12.443,101,8.117013582,A,h
BF0026,6.307,57,9.037577295,A,h
BF0026,11.224,87,7.751247327,A,h
BF0026,5.044,47,9.318001586,A,h
BF0026,8.048,62,7.703777336,A,h
BF0026,9.616,76,7.903494176,A,h
BF0026,9.895,77,7.781707933,A,h
BF0026,10.44,74,7.088122605,A,h
BF0026,5.401,47,8.702092205,A,h
BF0026,10.028,77,7.678500199,A,h
BF0016,8.727,91,10.42740919,A,h
BF0016,5.808,55,9.46969697,A,h
BF0016,4.687,51,10.88116066,A,h
BF0016,6.603,62,9.389671362,A,h
BF0016,4.606,57,12.37516283,A,h
BF0016,7.114,75,10.54259207,A,h
BF0016,7.062,73,10.33701501,A,h
BF0016,5.663,52,9.182412149,A,h
BF0016,3.631,40,11.01624897,A,h
BF0016,5.93,60,10.11804384,A,h
BF0016,0.775,11,14.19354839,A,h
BF0016,3.312,38,11.47342995,A,h
BF0016,6.655,71,10.66867017,A,h
BF0016,3.364,40,11.89060642,A,h
BF0016,3.747,48,12.8102482,A,h
BF0016,1.236,15,12.13592233,A,h
BF0016,1.78,24,13.48314607,A,h
BF0016,1.454,20,13.75515818,A,h
BF0016,5.802,64,11.03067908,A,h
BF0016,4.397,48,10.916534,A,h
BF0022,5.948,47,7.901815736,A,h
BF0022,5.117,40,7.817080321,A,h
BF0022,5.035,38,7.547169811,A,h
BF0022,5.071,41,8.085190298,A,h
BF0022,2.017,17,8.428358949,A,h
BF0022,1.03,9,8.737864078,A,h
BF0022,5.478,41,7.484483388,A,h
BF0022,2.272,20,8.802816901,A,h
BF0022,5.355,39,7.282913165,A,h
BF0022,1.809,15,8.291873964,A,h
BF0022,2.703,24,8.879023307,A,h
BF0022,5.036,37,7.347100874,A,h
BF0022,4.845,39,8.049535604,A,h
BF0022,2.876,22,7.649513213,A,h
BF0022,2.157,16,7.417709782,A,h
BF0022,1.791,13,7.258514796,A,h
BF0022,0.967,9,9.307135471,A,h
BF0022,10.127,73,7.208452651,A,h
BF0022,1.524,11,7.217847769,A,h
BF0022,7.363,52,7.062338721,A,h
BF0025,13.25,108,8.150943396,A,h
BF0025,11.055,90,8.141112619,A,h
BF0025,5.416,46,8.493353028,A,h
BF0025,14.028,115,8.197889934,A,h
BF0025,11.311,93,8.222084696,A,h
BF0025,12.007,93,7.745481802,A,h
BF0025,12.78,98,7.668231612,A,h
BF0025,14.864,123,8.275026911,A,h
